target_id,domain,name_zh,name_en,aliases,total_publication_query,query,pubmed_total_count_20y,pubmed_retracted_count_20y,retraction_rate_percent,retractions_per_1000_publications,retrieved_pmids,error,last_checked
lions-mane,口服/补剂,猴头菇,Lion's Mane,lion's mane; Hericium erinaceus,"(""lion's mane""[Title] OR ""Hericium erinaceus""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""lion's mane""[Title] OR ""Hericium erinaceus""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",179,1,0.559,5.59,26988860,,2026-09-21
berberine,口服/补剂,小檗碱,Berberine,Berberine,"(""Berberine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Berberine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1352,11,0.814,8.14,36276998;35465190;34489150;33632015;32524872;32277648;31545226;31391714;29491706;25409232;16621886,,2026-09-21
cinnamon,口服/补剂,肉桂,Cinnamon,Cinnamon,"(""Cinnamon""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Cinnamon""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",680,3,0.441,4.41,36090212;35290563;35008615,,2026-09-21
garlic-extract,口服/补剂,大蒜提取物,Garlic Extract,Garlic Extract,"(""Garlic Extract""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Garlic Extract""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",203,2,0.985,9.85,39437887;26088761,,2026-09-21
plant-sterols,口服/补剂,植物甾醇,Plant Sterols,Plant Sterols,"(""Plant Sterols""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Plant Sterols""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",186,1,0.538,5.38,25109666,,2026-09-21
red-yeast-rice,口服/补剂,红曲米,Red Yeast Rice,red yeast rice; Monascus,"(""red yeast rice""[Title] OR ""Monascus""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""red yeast rice""[Title] OR ""Monascus""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",542,0,0.000,0.00,,,2026-09-21
policosanol,口服/补剂,普利醇,Policosanol,Policosanol,"(""Policosanol""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Policosanol""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",78,0,0.000,0.00,,,2026-09-21
milk-thistle,口服/补剂,水飞蓟,Milk Thistle,Milk Thistle,"(""Milk Thistle""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Milk Thistle""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",130,1,0.769,7.69,33473288,,2026-09-21
saw-palmetto,口服/补剂,锯棕榈,Saw Palmetto,Saw Palmetto,"(""Saw Palmetto""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Saw Palmetto""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",44,0,0.000,0.00,,,2026-09-21
cranberry,口服/补剂,蔓越莓,Cranberry,Cranberry,"(""Cranberry""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Cranberry""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",447,0,0.000,0.00,,,2026-09-21
d-mannose,口服/补剂,D-甘露糖,D-Mannose,D-mannose; mannose,"(""D-mannose""[Title] OR ""mannose""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""D-mannose""[Title] OR ""mannose""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",649,1,0.154,1.54,32308412,,2026-09-21
peppermint-oil,口服/补剂,薄荷油,Peppermint Oil,peppermint oil; Mentha piperita,"(""peppermint oil""[Title] OR ""Mentha piperita""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""peppermint oil""[Title] OR ""Mentha piperita""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",116,2,1.724,17.24,16399846;16355390,,2026-09-21
ginger,口服/补剂,姜,Ginger,Ginger,"(""Ginger""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Ginger""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1002,1,0.100,1.00,31428171,,2026-09-21
spirulina,口服/补剂,螺旋藻,Spirulina,Spirulina,"(""Spirulina""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Spirulina""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1110,2,0.180,1.80,39517296;32142842,,2026-09-21
chlorella,口服/补剂,小球藻,Chlorella,Chlorella,"(""Chlorella""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Chlorella""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",886,0,0.000,0.00,,,2026-09-21
moringa,口服/补剂,辣木,Moringa,Moringa,"(""Moringa""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Moringa""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1237,4,0.323,3.23,35143535;34270569;30647808;30168446,,2026-09-21
wheatgrass,口服/补剂,小麦草,Wheatgrass,Wheatgrass,"(""Wheatgrass""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Wheatgrass""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",57,0,0.000,0.00,,,2026-09-21
beetroot,口服/补剂,甜菜根,Beetroot / Nitrate,beetroot; dietary nitrate; nitrate,"(""beetroot""[Title] OR ""dietary nitrate""[Title] OR ""nitrate""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""beetroot""[Title] OR ""dietary nitrate""[Title] OR ""nitrate""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",2966,1,0.034,0.34,38623889,,2026-09-21
cocoa-flavanols,口服/补剂,可可黄烷醇,Cocoa Flavanols,cocoa flavanol; cocoa flavanols; cocoa polyphenol,"(""cocoa flavanol""[Title] OR ""cocoa flavanols""[Title] OR ""cocoa polyphenol""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""cocoa flavanol""[Title] OR ""cocoa flavanols""[Title] OR ""cocoa polyphenol""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",89,0,0.000,0.00,,,2026-09-21
olive-leaf,口服/补剂,橄榄叶提取物,Olive Leaf Extract,olive leaf; oleuropein,"(""olive leaf""[Title] OR ""oleuropein""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""olive leaf""[Title] OR ""oleuropein""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",465,0,0.000,0.00,,,2026-09-21
black-seed-oil,口服/补剂,黑种草籽油,Black Seed Oil,black seed oil; Nigella sativa,"(""black seed oil""[Title] OR ""Nigella sativa""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""black seed oil""[Title] OR ""Nigella sativa""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",605,1,0.165,1.65,32512788,,2026-09-21
evening-primrose-oil,口服/补剂,月见草油,Evening Primrose Oil,evening primrose oil,"(""evening primrose oil""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""evening primrose oil""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",50,1,2.000,20.00,28742409,,2026-09-21
borage-oil,口服/补剂,琉璃苣油,Borage Oil,borage oil,"(""borage oil""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""borage oil""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",13,0,0.000,0.00,,,2026-09-21
